Date,Hour,Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
2020-11-14,16,15:30 - 15:45,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14
2020-11-14,16,15:45 - 16:00,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04
2020-11-14,17,16:00 - 16:15,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04
2020-11-14,17,16:15 - 16:30,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08
2020-11-14,17,16:30 - 16:45,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53
2020-11-14,17,16:45 - 17:00,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99
2020-11-14,17,16:00 - 16:15,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04,2299.04
2020-11-14,17,16:15 - 16:30,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08,2367.08
2020-11-14,17,16:30 - 16:45,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53,2361.53
2020-11-14,17,16:45 - 17:00,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99,2349.99
2020-11-14,18,17:00 - 17:15,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3
2020-11-14,18,17:15 - 17:30,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95
2020-11-14,18,17:30 - 17:45,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27
2020-11-14,18,17:45 - 18:00,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2
2020-11-14,18,17:00 - 17:15,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3,2149.3
2020-11-14,18,17:15 - 17:30,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95,2399.95
2020-11-14,18,17:30 - 17:45,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27,2679.27
2020-11-14,18,17:45 - 18:00,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2,2919.2
2020-11-14,19,18:00 - 18:15,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67
2020-11-14,19,18:15 - 18:30,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39
2020-11-14,19,18:30 - 18:45,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22
2020-11-14,19,18:45 - 19:00,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93
2020-11-14,19,18:00 - 18:15,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67,2724.67
2020-11-14,19,18:15 - 18:30,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39,2624.39
2020-11-14,19,18:30 - 18:45,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22,2649.22
2020-11-14,19,18:45 - 19:00,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93,2589.93
2020-11-14,20,19:00 - 19:15,1999.73,1999.73,1999.73,1999.73,1999.73,1999.73,1999.73,1999.73,1999.73,1999.73,1999.73,1999.73,1999.73,1999.73
2020-11-14,20,19:15 - 19:30,1999.69,1999.69,1999.69,1999.69,1999.69,1999.69,1999.69,1999.69,1999.69,1999.69,1999.69,1999.69,1999.69,1999.69
